Version,orderOfOperations,subgroupRealCopy,subgroupReal,subgroupComplexCopy,multiplyComplexCopy,divideComplexCopy,multiplyComplex,divideComplex,orderOfOperationsCopy,subgroupComplex,linearTwoPointsCopy,solveIntegerLinearCopy,linearGraphToStandard,linearParOrPerCopy,solveLinearRational,linearParOrPer,solveIntegerLinear,linearTwoPoints,linearGraphToStandardCopy,solveLinearRationalCopy,solveIntegerInequality,solveCompoundAND_copy,describeSetCopy,solveCompoundAND,describeSet,solveRationalInequalityCopy,solveCompoundOR_copy,solveRationalInequality,solveIntegerInequalityCopy,solveCompoundOR,quadraticGraphToEquation,factorLeadingOver1CompositeCopy,solveQuadraticFactorComposites,quadraticGraphToEquationCopy,quadraticFormulaCopy,factorLeadingOver1Composite,quadraticEquationToGraph,quadraticFormula,solveQuadraticFactorCompositesCopy,quadraticEquationToGraphCopy,radicalGraphToEquation,solveRadicalQuadratic,domainRadical,radicalEquationToGraphCopy,solveRadicalLinearCopy,radicalGraphToEquationCopy,solveRadicalLinear,domainRadicalCopy,radicalEquationToGraph,solveRadicalQuadraticCopy,constructPolyRationals,polyEndBehaviorCopy,constructPolyComplex,polyEndBehavior,polyGraphToFunctionCopy,polyZeroBehavior,constructPolyComplexCopy,constructPolyRationalsCopy,polyGraphToFunction,polyZeroBehaviorCopy,rationalEquationToGraphCopy,solveRationalLinearCopy,rationalEquationToGraph,solveRationalLinear,domainRationalCopy,solveRationalQuadratic,domainRational,solveRationalQuadraticCopy,rationalGraphToEquation,rationalGraphToEquationCopy,solveByLogProperties,domainRangeLogCopy,solveExpDifferentBasesCopy,domainRangeExpCopy,solveByLogPropertiesCopy,domainRangeLog,solveByConverting,solveExpDifferentBases,solveByConvertingCopy,domainRangeExp,identifyModelPopulationLinear,domainLinearModelCopy,constructLinearModelDistanceAndRate,domainLinearModel,constructLinearModelCostsProfitsRevenueCopy,constructLinearModelDistanceAndRateCopy,identifyModelPopulationLinearCopy,constructLinearModelMixtureCopy,constructLinearModelMixture,constructLinearModelCostsProfitsRevenue,constructJointModelCopy,identifyModelPopulationPowerCopy,constructDirectModelCopy,identifyModelVariationCopy,identifyModelPopulationPower,constructJointModel,constructDirectModel,identifyModelVariation,constructIndirectModelCopy,constructIndirectModel,constructTemperatureModel,identifyModelPopulationLogExp,constructTemperatureModelCopy,identifyModelGraph11,constructBacteriaGrowth,identifyModelGraph11Copy,constructHalfLifeModel,constructHalfLifeModelCopy,constructBacteriaGrowthCopy,identifyModelPopulationLogExpCopy,solveModelExp,solveModelExpCopy,solveModelPower,constructModelMixedCopy,solveModelLinearCopy,identifyModelGraph12,constructModelMixed,solveModelPowerCopy,solveModelLinear,identifyModelGraph12Copy,findInversePolyOrRadical,findInverseLogOrExpCopy,findInverseLogOrExp,domainAfterOperating,determine1to1,functionComposition,findInversePolyOrRadicalCopy,functionCompositionCopy,domainAfterOperatingCopy,determine1to1Copy,possibleRootsCopy,factorUsingSynthetic2Integers,factorUsingSynthetic2RationalsCopy,factorUsingSynthetic2Rationals,syntheticDivisionCopy,syntheticDivisionMissingTermsCopy,syntheticDivisionMissingTerms,possibleRoots,syntheticDivision,factorUsingSynthetic2IntegersCopy,oneSidedLimits,interpretLimit,oneSidedLimitsCopy,evaluateLimitAnalyticalEasy,evaluateLimitGraphicallyCopy,interpretLimitCopy,evaluateLimitAnalyticalEasyCopy,evaluateLimitAnalyticalHardCopy,evaluateLimitAnalyticalHard,evaluateLimitGraphically,identifyOAs,identifyHolesCopy,identifyHAs,identifyGraphOfRationalFunction,identifyVAs,identifyOAsCopy,identifyHAsCopy,identifyGraphOfRationalFunctionCopy,identifyHoles,identifyVAsCopy
A,B,A,A,D,B,C,D,C,D,D,A,D,D,E,D,D,A,C,C,A,A,E,D,D,D,D,A,A,B,C,B,B,B,E,B,C,B,D,A,D,E,A,A,B,D,E,B,A,A,E,A,D,D,A,A,A,B,A,D,B,B,D,E,A,D,A,E,E,E,C,E,E,A,A,E,A,D,B,C,C,C,C,C,B,E,C,D,C,B,E,D,B,D,D,A,D,D,D,A,B,D,D,C,B,B,A,A,D,C,D,C,B,A,A,A,C,B,D,D,D,B,C,C,C,A,B,D,A,D,C,C,C,C,B,D,A,D,B,A,C,E,C,A,A,B,E,C,D,E,B,C,A,A,D,D,B,C,B,B,C
B,C,B,C,B,E,A,E,B,A,C,C,A,C,B,C,D,B,C,B,A,B,E,A,A,E,C,C,D,C,D,B,B,A,B,B,C,D,D,C,D,E,B,D,A,B,D,D,D,A,A,B,C,A,A,B,C,A,B,D,A,C,B,E,C,B,A,C,D,C,D,C,E,A,E,E,E,A,A,B,E,A,D,B,A,C,B,B,D,B,C,B,A,B,D,A,C,B,D,C,A,C,C,A,A,E,E,A,C,E,C,B,A,D,E,A,B,C,C,B,B,E,B,A,B,D,C,E,B,A,E,D,C,A,D,B,B,A,C,B,D,D,C,B,A,D,E,C,E,E,A,C,B,C,A,D,C,D,C,E,B
C,C,D,B,B,A,E,C,D,C,C,C,C,D,B,D,E,C,A,D,A,D,E,D,E,E,D,C,D,C,D,B,B,B,B,A,A,C,A,D,C,C,B,A,D,C,E,E,B,D,A,D,C,C,A,E,C,D,A,B,A,A,B,C,D,B,A,A,C,E,A,C,E,C,E,B,C,C,A,A,E,B,D,B,D,D,A,A,B,C,E,D,C,A,D,A,C,B,D,B,D,A,D,E,D,E,E,B,D,E,A,B,B,A,D,B,A,B,D,D,B,E,B,A,D,B,A,E,B,C,C,C,B,E,B,D,C,E,A,A,D,A,B,D,B,D,C,C,E,E,D,E,C,A,C,C,E,E,A,D,C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
