Version,subgroupReal,multiplyComplexCopy,subgroupComplexCopy,divideComplexCopy,orderOfOperationsCopy,multiplyComplex,subgroupComplex,subgroupRealCopy,orderOfOperations,divideComplex,solveIntegerLinearCopy,solveLinearRationalCopy,solveIntegerLinear,linearGraphToStandardCopy,solveLinearRational,linearParOrPerCopy,linearParOrPer,linearGraphToStandard,linearTwoPointsCopy,linearTwoPoints,solveIntegerInequality,solveIntegerInequalityCopy,solveCompoundOR,solveCompoundAND_copy,describeSetCopy,describeSet,solveCompoundOR_copy,solveRationalInequalityCopy,solveCompoundAND,solveRationalInequality,solveQuadraticFactorComposites,quadraticGraphToEquation,quadraticFormulaCopy,quadraticGraphToEquationCopy,quadraticFormula,quadraticEquationToGraphCopy,solveQuadraticFactorCompositesCopy,factorLeadingOver1CompositeCopy,factorLeadingOver1Composite,quadraticEquationToGraph,solveRadicalLinear,solveRadicalQuadratic,radicalEquationToGraph,radicalGraphToEquation,radicalGraphToEquationCopy,solveRadicalLinearCopy,domainRadical,domainRadicalCopy,solveRadicalQuadraticCopy,radicalEquationToGraphCopy,polyEndBehavior,polyGraphToFunctionCopy,constructPolyRationals,constructPolyRationalsCopy,constructPolyComplex,constructPolyComplexCopy,polyZeroBehaviorCopy,polyEndBehaviorCopy,polyGraphToFunction,polyZeroBehavior,solveRationalQuadraticCopy,domainRational,solveRationalLinear,solveRationalLinearCopy,rationalEquationToGraphCopy,domainRationalCopy,rationalGraphToEquationCopy,rationalGraphToEquation,rationalEquationToGraph,solveRationalQuadratic,solveByLogPropertiesCopy,solveExpDifferentBasesCopy,solveExpDifferentBases,solveByConvertingCopy,domainRangeExp,solveByLogProperties,solveByConverting,domainRangeLog,domainRangeExpCopy,domainRangeLogCopy,identifyModelPopulationLinear,constructLinearModelDistanceAndRateCopy,domainLinearModelCopy,constructLinearModelCostsProfitsRevenueCopy,constructLinearModelMixtureCopy,constructLinearModelCostsProfitsRevenue,identifyModelPopulationLinearCopy,constructLinearModelDistanceAndRate,constructLinearModelMixture,domainLinearModel,identifyModelVariation,constructIndirectModel,constructJointModelCopy,constructDirectModelCopy,identifyModelPopulationPower,identifyModelPopulationPowerCopy,constructDirectModel,constructJointModel,identifyModelVariationCopy,constructIndirectModelCopy,identifyModelPopulationLogExpCopy,identifyModelGraph11Copy,constructBacteriaGrowth,identifyModelGraph11,constructTemperatureModel,constructTemperatureModelCopy,identifyModelPopulationLogExp,constructHalfLifeModelCopy,constructHalfLifeModel,constructBacteriaGrowthCopy,identifyModelGraph12,identifyModelGraph12Copy,constructModelMixedCopy,solveModelExpCopy,solveModelLinearCopy,solveModelExp,solveModelPowerCopy,solveModelPower,constructModelMixed,solveModelLinear,domainAfterOperating,findInversePolyOrRadical,determine1to1,findInversePolyOrRadicalCopy,findInverseLogOrExpCopy,functionComposition,functionCompositionCopy,findInverseLogOrExp,domainAfterOperatingCopy,determine1to1Copy,possibleRoots,syntheticDivision,factorUsingSynthetic2IntegersCopy,factorUsingSynthetic2Rationals,syntheticDivisionMissingTermsCopy,factorUsingSynthetic2Integers,syntheticDivisionCopy,possibleRootsCopy,syntheticDivisionMissingTerms,factorUsingSynthetic2RationalsCopy,evaluateLimitAnalyticalHardCopy,oneSidedLimitsCopy,evaluateLimitAnalyticalEasyCopy,evaluateLimitAnalyticalEasy,oneSidedLimits,evaluateLimitGraphicallyCopy,interpretLimitCopy,evaluateLimitGraphically,evaluateLimitAnalyticalHard,interpretLimit,identifyVAs,identifyHAsCopy,identifyOAs,identifyHoles,identifyGraphOfRationalFunction,identifyVAsCopy,identifyHAs,identifyOAsCopy,identifyHolesCopy,identifyGraphOfRationalFunctionCopy
A,D,E,A,E,C,C,A,E,A,B,B,A,D,A,C,E,E,B,B,A,A,C,B,A,C,A,D,C,E,A,A,A,A,A,A,D,B,C,C,C,E,B,C,E,B,E,A,E,C,B,A,E,C,A,D,D,C,A,C,A,B,B,A,C,E,E,E,E,E,B,E,A,A,A,B,B,B,C,E,E,A,A,C,A,B,E,D,C,B,E,D,D,C,C,B,C,B,D,D,C,D,D,E,B,B,E,A,A,B,A,B,E,B,A,B,C,A,A,B,B,A,A,D,B,A,D,B,E,D,C,C,B,B,D,C,D,A,B,D,C,C,E,B,B,D,B,E,A,E,D,C,B,E,A,A,C,C,A,C,B
B,A,A,B,E,C,E,C,D,B,C,A,A,D,B,D,B,B,E,A,D,A,A,B,B,A,A,C,D,E,C,A,E,D,E,A,D,B,B,B,C,D,D,B,D,C,C,D,E,E,A,D,D,E,B,B,D,B,A,D,C,B,B,C,D,E,D,E,E,E,E,A,D,B,A,E,E,A,D,A,A,C,C,A,E,D,E,C,A,D,B,D,C,C,C,C,C,C,D,D,D,C,E,B,E,E,D,A,B,D,C,E,E,E,A,D,C,A,B,A,D,E,D,C,E,E,C,A,C,B,D,B,E,E,E,E,C,A,D,C,C,E,C,A,C,B,D,A,D,E,E,D,B,A,B,C,B,E,E,E,C
C,A,E,A,C,B,E,B,C,A,D,A,C,D,D,C,A,A,C,D,B,A,A,A,B,E,B,B,D,C,B,C,A,B,C,D,B,B,D,D,C,A,D,D,E,B,B,A,B,C,C,A,E,A,C,A,D,A,D,E,C,A,B,B,E,E,E,E,D,E,D,A,D,A,C,D,E,A,E,E,E,A,D,C,D,D,E,D,A,C,A,D,B,B,B,D,B,A,A,D,D,C,C,C,E,E,E,C,A,C,E,E,A,D,D,C,C,B,A,A,A,B,C,C,D,B,B,B,A,A,C,A,A,D,D,E,A,B,B,A,E,C,E,C,B,E,A,A,D,E,C,A,C,B,C,B,C,A,C,E,A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
